fishid,date,station,survey,lat,long,ec,sal,secchi,temp
2011_FMWT_1108,9/8/2011,413,FMWT,38.06595,-122.0473,7380,4.061354978,0.379999995,20
2011_FMWT_1221,9/13/2011,515,FMWT,38.092,-122.01472,6220,3.382533762,0.389999986,19.39999962
2011_FMWT_1222,9/13/2011,515,FMWT,38.092,-122.01472,6220,3.382533762,0.389999986,19.39999962
2011_FMWT_1256,9/13/2011,518,FMWT,38.06875,-121.96802,2140,1.092283981,0.209999993,19.89999962
2011_FMWT_1260,9/13/2011,519,FMWT,38.07378,-121.94725,2244,1.148142505,0.200000003,19.60000038
2011_FMWT_1261,9/13/2011,519,FMWT,38.07378,-121.94725,2244,1.148142505,0.200000003,19.60000038
2011_FMWT_1263,9/13/2011,519,FMWT,38.07378,-121.94725,2244,1.148142505,0.200000003,19.60000038
2011_FMWT_1264,9/13/2011,519,FMWT,38.07378,-121.94725,2244,1.148142505,0.200000003,19.60000038
2011_FMWT_1314,9/13/2011,512,FMWT,38.05638,-121.87722,440,0.213635029,0.409999996,20.89999962
2011_FMWT_1502,9/8/2011,405,FMWT,38.03353,-122.15815,10490,5.924745994,0.270000011,19.10000038
2011_FMWT_1503,9/8/2011,405,FMWT,38.03353,-122.15815,10490,5.924745994,0.270000011,19.10000038
2011_FMWT_1504,9/8/2011,405,FMWT,38.03353,-122.15815,10490,5.924745994,0.270000011,19.10000038
2011_FMWT_1577,9/14/2011,715,FMWT,38.22295,-121.67362,173,0.085691867,0.519999981,21.20000076
2011_FMWT_1610,9/14/2011,715,FMWT,38.22295,-121.67362,173,0.085691867,0.519999981,21.20000076
2011_FMWT_2373,10/7/2011,509,FMWT,38.04547,-121.90412,377,0.183017994,0.569999993,18.20000076
2011_FMWT_2384,10/7/2011,508,FMWT,38.04813,-121.91492,490,0.238097203,0.460000008,18.29999924
2011_FMWT_2392,10/7/2011,507,FMWT,38.05228,-121.939,576,0.280479011,0.330000013,18.79999924
2011_FMWT_2397,10/7/2011,507,FMWT,38.05228,-121.939,576,0.280479011,0.330000013,18.79999924
2011_FMWT_2610,10/10/2011,721,FMWT,38.274576,-121.707348,198,0.097458304,0.430000007,17.39999962
2011_FMWT_2611,10/10/2011,721,FMWT,38.274576,-121.707348,198,0.097458304,0.430000007,17.39999962
2011_FMWT_2612,10/10/2011,721,FMWT,38.274576,-121.707348,198,0.097458304,0.430000007,17.39999962
2011_FMWT_2831,11/14/2011,517,FMWT,38.07022,-121.97938,10820,6.125747778,0.670000017,13.5
2011_FMWT_2832,11/14/2011,517,FMWT,38.07022,-121.97938,10820,6.125747778,0.670000017,13.5
2011_FMWT_2845,11/15/2011,703,FMWT,38.06087,-121.79692,2591,1.335760482,0.469999999,13.30000019
2011_FMWT_2847,11/15/2011,704,FMWT,38.07087,-121.77892,1988,1.010975402,0.479999989,13.39999962
2011_FMWT_2848,11/15/2011,704,FMWT,38.07087,-121.77892,1988,1.010975402,0.479999989,13.39999962
2011_FMWT_2975,11/21/2011,719,FMWT,38.33554,-121.646902,365,0.177213756,0.209999993,12.60000038
2011_FMWT_2977,11/21/2011,719,FMWT,38.33554,-121.646902,365,0.177213756,0.209999993,12.60000038
2011_FMWT_2979,11/21/2011,719,FMWT,38.33554,-121.646902,365,0.177213756,0.209999993,12.60000038
2011_FMWT_2980,11/21/2011,719,FMWT,38.33554,-121.646902,365,0.177213756,0.209999993,12.60000038
2011_FMWT_3049,11/21/2011,797,FMWT,38.40462,-121.6156,527,0.25628557,0.209999993,12.5
2011_SFBS_0001,8/2/2011,535,SFBS,38.0455,-121.8967,4611.7407,2.459091573,0.55,19.9
2011_SFBS_0002,8/2/2011,535,SFBS,38.0455,-121.8967,4611.7407,2.459091573,0.55,19.9
2011_TNS_0167,8/9/2011,704,TNS,38.07087,-121.77892,195,0.096043947,0.38,22.5
2011_TNS_0168,8/9/2011,704,TNS,38.07087,-121.77892,195,0.096043947,0.38,22.5
2011_TNS_0171,8/10/2011,519,TNS,38.07378,-121.94725,5060,2.714207067,0.32,19.39999962
2011_TNS_0173,8/10/2011,519,TNS,38.07378,-121.94725,5060,2.714207067,0.32,19.39999962
2011_TNS_0174,8/10/2011,519,TNS,38.07378,-121.94725,5060,2.714207067,0.32,19.39999962
2011_TNS_0178,8/10/2011,501,TNS,38.06167,-122.01955,5430,2.926150821,0.45,20.39999962
2011_TNS_0179,8/10/2011,501,TNS,38.06167,-122.01955,5430,2.926150821,0.45,20.39999962
2011_TNS_0248,8/9/2011,721,TNS,38.274576,-121.707348,173,0.085691867,0.32,20.29999924
2011_TNS_0279,8/11/2011,610,TNS,38.122194,-121.889111,1472,0.738199701,0.18,20.89999962
2011_TNS_0280,8/11/2011,610,TNS,38.122194,-121.889111,1472,0.738199701,0.18,20.89999962
2011_TNS_0281,8/11/2011,610,TNS,38.122194,-121.889111,1472,0.738199701,0.18,20.89999962
2011_TNS_0282,8/11/2011,610,TNS,38.122194,-121.889111,1472,0.738199701,0.18,20.89999962
2011_TNS_0284,8/11/2011,609,TNS,38.167744,-121.934369,1898,0.963025324,0.16,20.79999924
2011_TNS_0285,8/11/2011,606,TNS,38.1698,-122.02177,3118,1.623798445,0.21,21
2011_TNS_0288,8/11/2011,418,TNS,38.09383,-122.06973,9460,5.301218006,0.44,20.60000038
2011_TNS_0291,8/11/2011,418,TNS,38.09383,-122.06973,9460,5.301218006,0.44,20.60000038
2011_TNS_0293,8/12/2011,508,TNS,38.04813,-121.91492,1340,0.669327972,0.61,21.5
2011_TNS_0294,8/12/2011,508,TNS,38.04813,-121.91492,1340,0.669327972,0.61,21.5
2011_TNS_1064,8/25/2011,602,TNS,38.11783,-122.04183,8160,4.523090008,0.17,20.29999924
2011_TNS_1065,8/25/2011,602,TNS,38.11783,-122.04183,8160,4.523090008,0.17,20.29999924
2011_TNS_1068,8/25/2011,602,TNS,38.11783,-122.04183,8160,4.523090008,0.17,20.29999924
2011_TNS_1072,8/25/2011,602,TNS,38.11783,-122.04183,8160,4.523090008,0.17,20.29999924
2011_TNS_1075,8/25/2011,602,TNS,38.11783,-122.04183,8160,4.523090008,0.17,20.29999924
2011_TNS_1372,8/23/2011,716,TNS,38.23787,-121.68438,163,0.080997737,0.35,20.60000038
2011_TNS_1380,8/23/2011,716,TNS,38.23787,-121.68438,163,0.080997737,0.35,20.60000038
2011_TNS_1382,8/23/2011,716,TNS,38.23787,-121.68438,163,0.080997737,0.35,20.60000038
2011_TNS_1394,8/23/2011,716,TNS,38.23787,-121.68438,163,0.080997737,0.35,20.60000038
2011_TNS_1400,8/23/2011,716,TNS,38.23787,-121.68438,163,0.080997737,0.35,20.60000038
2012_FMWT_5944,11/14/2012,705,FMWT,38.07925,-121.7618,1460,0.731921972,0.550000012,14.89999962
2012_GES_4199,9/27/2012,704,GES,38.07087,-121.77892,357,0.173349367,0.62,20.3
2012_GES_4206,9/27/2012,704,GES,38.07087,-121.77892,357,0.173349367,0.62,20.3
2012_GES_4208,9/27/2012,704,GES,38.07087,-121.77892,1558,0.783283859,0.58,19.6
2012_GES_4209,9/27/2012,704,GES,38.07087,-121.77892,357,0.173349367,0.62,20.3
2012_GES_4210,9/27/2012,704,GES,38.07087,-121.77892,357,0.173349367,0.62,20.3
2012_GES_4211,9/27/2012,704,GES,38.07087,-121.77892,357,0.173349367,0.62,20.3
2012_GES_4212,9/27/2012,704,GES,38.07087,-121.77892,357,0.173349367,0.62,20.3
2012_GES_4214,9/27/2012,704,GES,38.07087,-121.77892,1558,0.783283859,0.58,19.6
2012_GES_4217,9/27/2012,704,GES,38.07087,-121.77892,357,0.173349367,0.62,20.3
2012_GES_4218,9/27/2012,704,GES,38.07087,-121.77892,1558,0.783283859,0.58,19.6
2012_GES_4222,9/27/2012,704,GES,38.07087,-121.77892,1558,0.783283859,0.58,19.6
2012_GES_4224,9/27/2012,704,GES,38.07087,-121.77892,1558,0.783283859,0.58,19.6
2012_GES_4226,9/27/2012,704,GES,38.07087,-121.77892,1558,0.783283859,0.58,19.6
2012_GES_4231,9/27/2012,704,GES,38.07087,-121.77892,357,0.173349367,0.62,20.3
2012_GES_4233,9/27/2012,704,GES,38.07087,-121.77892,1558,0.783283859,0.58,19.6
2012_GES_4240,9/27/2012,704,GES,38.07087,-121.77892,357,0.173349367,0.62,20.3
2012_GES_4242,9/27/2012,704,GES,38.07087,-121.77892,1558,0.783283859,0.58,19.6
2012_GES_4243,9/27/2012,704,GES,38.07087,-121.77892,1558,0.783283859,0.58,19.6
2012_GES_4244,9/27/2012,704,GES,38.07087,-121.77892,357,0.173349367,0.62,20.3
2012_GES_4248,9/27/2012,704,GES,38.07087,-121.77892,1558,0.783283859,0.58,19.6
2012_GES_4253,9/27/2012,704,GES,38.07087,-121.77892,1558,0.783283859,0.58,19.6
2012_GES_4259,9/27/2012,704,GES,38.07087,-121.77892,3942,2.081570238,0.58,20.1
2012_GES_4262,9/27/2012,704,GES,38.07087,-121.77892,3942,2.081570238,0.58,20.1
2012_GES_4264,9/27/2012,704,GES,38.07087,-121.77892,3942,2.081570238,0.58,20.1
2012_GES_4274,9/27/2012,704,GES,38.07087,-121.77892,3942,2.081570238,0.58,20.1
2012_GES_4275,9/27/2012,704,GES,38.07087,-121.77892,3942,2.081570238,0.58,20.1
2012_GES_4280,9/27/2012,704,GES,38.07087,-121.77892,3942,2.081570238,0.58,20.1
2012_GES_4284,9/27/2012,704,GES,38.07087,-121.77892,3942,2.081570238,0.58,20.1
2012_GES_4671,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4678,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4679,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4682,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4683,10/25/2012,609,GES,38.167744,-121.934369,5220,2.805710926,0.58,17.7
2012_GES_4684,10/25/2012,609,GES,38.167744,-121.934369,5220,2.805710926,0.58,17.7
2012_GES_4687,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4689,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4693,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4694,10/25/2012,609,GES,38.167744,-121.934369,5220,2.805710926,0.58,17.7
2012_GES_4695,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4697,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4698,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4704,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4705,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4707,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4713,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4721,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_GES_4722,10/25/2012,609,GES,38.167744,-121.934369,204,0.100288992,0.53,17.5
2012_TNS_5253,8/6/2012,721,TNS,38.274576,-121.707348,147,0.073501393,0.36,20
2012_TNS_5254,8/6/2012,721,TNS,38.274576,-121.707348,147,0.073501393,0.36,20
2012_TNS_5285,8/6/2012,797,TNS,38.40462,-121.6156,767,0.375811938,0.3,23.70000076
2012_TNS_5301,8/8/2012,519,TNS,38.07378,-121.94725,5820,3.150818432,0.41,21
2012_TNS_5311,8/9/2012,602,TNS,38.11783,-122.04183,9640,5.409753174,0.37,21
2012_TNS_5315,8/20/2012,721,TNS,38.274576,-121.707348,160,0.079590851,0.4,20.5
2012_TNS_5336,8/20/2012,797,TNS,38.40462,-121.6156,752,0.368270939,0.5,22.89999962
2012_TNS_5339,8/20/2012,797,TNS,38.40462,-121.6156,752,0.368270939,0.5,22.89999962
2012_TNS_5344,8/21/2012,704,TNS,38.07087,-121.77892,217,0.106431211,0.45,21.89999962
2012_TNS_5345,8/21/2012,704,TNS,38.07087,-121.77892,217,0.106431211,0.45,21.89999962
2012_TNS_5346,8/22/2012,519,TNS,38.07378,-121.94725,8620,4.797244814,0.3,20.79999924
2012_TNS_5348,8/23/2012,610,TNS,38.122194,-121.889111,6550,3.574637767,0.3,19.89999962
2013_GES_5138,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5143,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5145,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5147,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5150,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5152,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5153,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5156,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5157,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5160,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5161,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5162,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5163,9/26/2013,703,GES,38.06087,-121.79692,377,0.183017994,0.62,19.5
2013_GES_5166,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5167,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5182,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5201,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5206,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5217,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5220,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5224,9/26/2013,703,GES,38.06087,-121.79692,377,0.183017994,0.62,19.5
2013_GES_5226,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5238,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5242,9/26/2013,703,GES,38.06087,-121.79692,377,0.183017994,0.62,19.5
2013_GES_5251,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5252,9/26/2013,703,GES,38.06087,-121.79692,377,0.183017994,0.62,19.5
2013_GES_5276,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5288,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5298,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5301,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5307,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5342,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5355,9/26/2013,704,GES,38.07087,-121.77892,1329,0.663607317,0.47,19.1
2013_GES_5695,11/21/2013,704,GES,38.07087,-121.77892,5778,3.12656286,0.49,13.5
2013_GES_5697,11/21/2013,703,GES,38.06087,-121.79692,8120,4.499313927,0.65,13.7
2013_GES_5698,11/21/2013,703,GES,38.06087,-121.79692,8120,4.499313927,0.65,13.7
2013_GES_5707,11/21/2013,703,GES,38.06087,-121.79692,6760,3.697312524,0.57,13.7
2013_GES_5708,11/21/2013,703,GES,38.06087,-121.79692,8120,4.499313927,0.65,13.7
2013_GES_5709,11/21/2013,704,GES,38.07087,-121.77892,5778,3.12656286,0.49,13.5
2013_GES_5719,11/21/2013,703,GES,38.06087,-121.79692,8120,4.499313927,0.65,13.7
2013_GES_5726,11/21/2013,704,GES,38.07087,-121.77892,5778,3.12656286,0.49,13.5
2013_GES_5729,11/21/2013,704,GES,38.07087,-121.77892,5778,3.12656286,0.49,13.5
2013_TNS_0249,8/5/2013,797,TNS,38.40462,-121.6156,756,0.370281029,0.31,20.89999962
2013_TNS_0308,8/21/2013,704,TNS,38.07087,-121.77892,6465,3.525077225,0.34,20.79999924
2013_TNS_0309,8/21/2013,804,TNS,38.02308,-121.79868,4189,2.220267602,0.53,20.89999962
2013_TNS_0310,8/21/2013,801,TNS,38.05561111,-121.847,5417,2.918683955,0.51,21.10000038
2014_CCE_0006,8/21/2014,704,CCE,38.07087,-121.77892,1245,0.620021255,0.600000024,21.79999924
2014_CCE_0008,8/21/2014,704,CCE,38.07087,-121.77892,1245,0.620021255,0.600000024,21.79999924
2014_CCE_0010,8/21/2014,704,CCE,38.07087,-121.77892,1245,0.620021255,0.600000024,21.79999924
2014_CCE_0013,8/21/2014,704,CCE,38.07087,-121.77892,1245,0.620021255,0.600000024,21.79999924
2014_CCE_0026,8/21/2014,704,CCE,38.07087,-121.77892,1245,0.620021255,0.600000024,21.79999924
2014_CCE_0028,8/21/2014,704,CCE,38.07087,-121.77892,1245,0.620021255,0.600000024,21.79999924
2014_CCE_0032,8/21/2014,704,CCE,38.07087,-121.77892,1245,0.620021255,0.600000024,21.79999924
2014_CCE_0034,8/21/2014,704,CCE,38.07087,-121.77892,1245,0.620021255,0.600000024,21.79999924
2014_CCE_0038,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0044,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0047,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0048,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0057,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0058,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0063,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0064,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0065,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0071,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0076,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0079,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0085,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0100,8/21/2014,704,CCE,38.07087,-121.77892,1214,0.603981291,0.660000026,22.60000038
2014_CCE_0107,8/21/2014,704,CCE,38.07087,-121.77892,2071,1.055324468,0.540000021,23.39999962
2014_CCE_0118,8/21/2014,704,CCE,38.07087,-121.77892,2071,1.055324468,0.540000021,23.39999962
2014_CCE_0119,8/21/2014,704,CCE,38.07087,-121.77892,2071,1.055324468,0.540000021,23.39999962
2014_CCE_0122,8/21/2014,704,CCE,38.07087,-121.77892,3175,1.655203625,0.569999993,23.39999962
2014_CCE_0126,8/21/2014,704,CCE,38.07087,-121.77892,3175,1.655203625,0.569999993,23.39999962
2014_CCE_0127,8/21/2014,704,CCE,38.07087,-121.77892,4398,2.338118485,0.589999974,22
2014_CCE_0129,8/21/2014,704,CCE,38.07087,-121.77892,4398,2.338118485,0.589999974,22
2014_CCE_0162,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0169,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0173,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0182,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0183,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0188,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0189,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0195,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0200,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0202,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0206,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0219,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0222,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0226,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0228,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0229,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0230,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0237,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0242,8/21/2014,797,CCE,38.40462,-121.6156,541,0.263185923,0.449999988,23.29999924
2014_CCE_0255,9/25/2014,705,CCE,38.07925,-121.7618,2777,1.437066376,0.620000005,20.79999924
2014_CCE_0257,9/25/2014,705,CCE,38.07925,-121.7618,3134,1.632609785,0.469999999,20.89999962
2014_CCE_0259,9/25/2014,705,CCE,38.07925,-121.7618,3134,1.632609785,0.469999999,20.89999962
2014_CCE_0260,9/25/2014,705,CCE,38.07925,-121.7618,2639,1.361856478,0.479999989,21
2014_CCE_0261,9/25/2014,705,CCE,38.07925,-121.7618,2639,1.361856478,0.479999989,21
2014_CCE_0263,9/25/2014,705,CCE,38.07925,-121.7618,2639,1.361856478,0.479999989,21
2014_CCE_0267,9/25/2014,705,CCE,38.07925,-121.7618,2639,1.361856478,0.479999989,21
2014_CCE_0268,9/25/2014,705,CCE,38.07925,-121.7618,2639,1.361856478,0.479999989,21
2014_CCE_0270,9/25/2014,705,CCE,38.07925,-121.7618,2639,1.361856478,0.479999989,21
2014_CCE_0272,9/25/2014,705,CCE,38.07925,-121.7618,2639,1.361856478,0.479999989,21
2014_CCE_0273,9/25/2014,705,CCE,38.07925,-121.7618,2639,1.361856478,0.479999989,21
2014_CCE_0276,9/25/2014,705,CCE,38.07925,-121.7618,2639,1.361856478,0.479999989,21
